sgsv_by_taxon_id,full_scientific_name,species,species_epithet,infraspesific_epithet,genus,taxon_authority,vernacular_name,itis_tsn,accessions,seeds,seed_boxes,countries,continents,sgsv_taxon_id
1037539,Oryza hybrid,Oryza hybrid,hybrid,,Oryza,,,,1,,1,1,1,6049
1038432,Poa sp.,Poa sp.,sp.,,Poa,,bluegrass,,3,500,2,3,2,3437
1040611,Thymus,Thymus,,,Thymus,L,thyme,32820,1,750,1,1,1,10772
1036106,Lactuca sp.,Lactuca sp.,sp.,,Lactuca,,lettuce,,9,5000,4,5,2,2377
1038439,Poa triviale L.,Poa triviale,triviale,,Poa,,,,1,500,1,1,1,11042
1038731,Rosa canina L.,Rosa canina,canina,,Rosa,,,,1,1000,1,1,1,9269
1039216,S. Hyb,S. Hyb,Hyb,,S.,,,,10,1000,1,0,0,6148
1036624,Luffa spp.,Luffa spp.,spp.,,Luffa,,,,1,400,1,1,1,10299
1030729,Acacia acuminata,Acacia acuminata,acuminata,,Acacia,,,,1,200,1,1,1,6335
1030881,Adonis sp.,Adonis sp.,sp.,,Adonis,,,,1,500,1,1,1,8526
1031091,Aethusa sp.,Aethusa sp.,sp.,,Aethusa,,,,1,500,1,1,1,6803
1035989,Iris lactea Pall.,Iris lactea,lactea,,Iris,,,,1,,1,1,1,5445
1033220,Citrullus sp.,Citrullus sp.,sp.,,Citrullus,,,,1,500,1,1,1,8630
1034894,Glycine sp.,Glycine sp.,sp.,,Glycine,,soybean,,32,14450,7,5,4,1902
1035105,Hibiscus dongolensis,Hibiscus dongolensis,dongolensis,,Hibiscus,,,,1,100,1,1,1,5997
1035593,Hordeum vulgare L. Deficiens Steud.,Hordeum vulgare,vulgare,,Hordeum,,,,1,500,1,1,1,7056
1035993,Iris sp.,Iris sp.,sp.,,Iris,,,,2,2000,1,1,1,9235
1036569,Lotus edulis,Lotus edulis,edulis,,Lotus,,,,4,,1,4,4,6607
1036801,Lycopus sp.,Lycopus sp.,sp.,,Lycopus,,,,1,500,1,1,1,9498
1037239,Mimosa dolens,Mimosa dolens,dolens,,Mimosa,,,,1,1000,1,1,1,7711
1037524,Oryza alta (Swallen),Oryza alta,alta,,Oryza,(Swallen),rice,,12,3321,3,7,2,3064
1037720,Papaver sp.,Papaver sp.,sp.,,Papaver,,poppy,,14,4500,5,7,2,3042
1038052,Phleum L.,Phleum sp.,sp.,,Phleum,L.,timothy,,5,1000,1,1,1,3330
1038920,S. bukasovii Juz.,S. bukasovii,bukasovii,,S.,,,,47,11745,2,1,1,6109
1039016,Secale sp.,Secale sp.,sp.,,Secale,,rye,,9,4300,4,7,2,3699
1039472,Solanum  canasense Hawkes.,Solanum,,,Solanum,,,,16,5600,2,3,1,10994
1042462,Vigna to be identifi,Vigna to,to,,Vigna,,,,4,1150,1,1,1,5676
1039684,Solanum  leptophyes Bitt.,Solanum,,,Solanum,,,,5,1750,2,2,1,10974
1040218,Sorghum sp.,Sorghum sp.,sp.,,Sorghum,,sorghum,,297,340828,12,34,6,4175
1041099,Triticum  aestivum L.  var.alborubrum,Triticum,,,Triticum,,,,7,3500,1,1,1,7812
1030741,Acacia aroma,Acacia aroma,aroma,,Acacia,,acacia,,2,1500,2,2,1,15
1031208,Alliaria sp.,Alliaria sp.,sp.,,Alliaria,,,,2,,2,1,1,5628
1031287,Althaea sp.,Althaea sp.,sp.,,Althaea,,,,1,500,1,1,1,8551
1032166,Bifora sp.,Bifora sp.,sp.,,Bifora,,bishop,,2,1000,2,1,1,674
1033276,Conringia persica Boiss.,Conringia persica,persica,,Conringia,,,,1,500,1,1,0,8637
1033953,Desmodium sequax,Desmodium sequax,sequax,,Desmodium,,ticktrefoil,,16,16000,11,5,2,1494
1034042,Digitalis sp.,Digitalis sp.,sp.,,Digitalis,,foxglove,,4,3000,3,2,1,1530
1034176,Echinochloa sp.,Echinochloa sp.,sp.,,Echinochloa,,cockspur,,5,5086,4,4,1,1583
1034272,Elymus nutans,Elymus nutans,nutans,,Elymus,,wildrye,,5,,1,1,1,5026
1034953,Hedysarum sp.,Hedysarum sp.,sp.,,Hedysarum,,,,1,300,1,1,1,5740
1035146,Hordeum bogdanii,Hordeum bogdanii,bogdanii,,Hordeum,,,,2,850,2,2,1,10866
1035295,Hordeum Persicum,Hordeum Persicum,Persicum,,Hordeum,,barley,,1,1000,1,1,1,2034
1035744,Hosta minor,Hosta minor,minor,,Hosta,,,,1,500,1,1,1,6002
1035824,Iberis amara,Iberis amara,amara,,Iberis,L,annual candytuft,23144,1,500,1,1,1,2248
1035864,Indigofera pulchra,Indigofera pulchra,pulchra,,Indigofera,,,,1,500,1,1,1,6584
